" 114 км (ОП.)","О ","Западно-Сибирская",837619,,,
" 1268 км (БП.)","Х ","Октябрьская",15646,"Кандалакша-91, Кола-171",,
" 151 км (ОП.)","О ","Западно-Сибирская",837525,,,
" 4 км (ПП.)","О ","Московская",205010,"Арбузово-4, Верховье-227",,
" 499 км (ПП.)","О ","Московская",204747,"Навля-76, Арбузово-33",,
"10 км (рзд.)","О ","""ФГУП """"КЖД""""""",869323,"Джанкой-10, Владиславовка-91",,
"100 км (ОП.)","О ","Октябрьская",40953,,,
"101 км (ОП.)","О ","Октябрьская",40934,,,
"104 км (ОП.)","О ","Октябрьская",40927,,,
"106 км (ОП.)","О ","Северо-Кавказская",525638,,"Кавказская - 105 км, Краснодар I - 31 км",
"106 км (ОП.)","О ","Восточно-Сибирская",933520,,"Слюдянка I - 60 км, Байкал - 34 км",
"106 км (ОП.)","О ","Октябрьская",39829,,,
"107 км (ОП.)","О ","Северо-Кавказская",525642,,"Кавказская - 105 км, Краснодар I - 31 км",
"107 км (рзд.)","О ","""ФГУП """"КЖД""""""",868320,"Владиславовка-5, Феодосия-12",,
"1093 км (БП.)","Х ","Октябрьская",14342,"Кандалакша-77, Беломорск-306",,
"11 км (ОП.)","О ","Куйбышевская",641415,,,
"117 км (ОП.)","О ","Октябрьская",58622,,,
"117 км (ОП.)","О ","Октябрьская",20926,,,
"12 км (ОП.)","О ","Октябрьская",20042,,,
"1217 км (ОП.)","О ","Горьковская",275916,,,
"123 км (ОП.)","О ","Восточно-Сибирская",934197,,,
"1283 км (ОП.)","О ","Северо-Кавказская",511438,,,
"1297 км (БП.)","Х ","Октябрьская",16155,"Кандалакша-120, Кола-142",,
"13 км (ОП.)","О ","Октябрьская",20057,,,
"13 км (ПП.)","Х ","Дальневосточная",982314,"Угловая-5","Участок Угловая - Смоляниново. До станции Смоляниново 34 км",
"1302 км (БП.)","Х ","Куйбышевская",648664,"ТП",,
"1303 км (БП.)","Х ","Октябрьская",16210,"Кандалакша-126, Кола-136",,
"133 км (ОП.)","О ","Октябрьская",58374,,,
"1340 км (БП.)","Х ","Октябрьская",16634,"Кандалакша-164, Кола-98",,
"1381 км (БП.)","Х ","Октябрьская",16761,"Кандалакша-205, Кола-57",,
"1391 км (БП.)","Х ","Октябрьская",16738,"Кандалакша-215, Кола-47",,
"143 км (ОП.)","О ","Октябрьская",47878,,,
"143 км (ОП.)","О ","Октябрьская",48550,,,
"144 км (ОП.)","О ","Октябрьская",21346,,"участок Выборг - Бусловская (эксп.)",
"147 км (ОП.)","О ","Северо-Кавказская",536914,,,
"149 км (ОП.)","О ","Восточно-Сибирская",933515,,"Слюдянка I - 17 км, Байкал - 77 км",
"15 км (ОП.)","О ","Горьковская",240122,,,
"152 км (ОП.)","О ","Октябрьская",23144,,,
"165 км (ОП.)","О ","Восточно-Сибирская",924126,,"Тайшет - 165 км, Лена-Восточная - 569 км",
"172 км (ОП.)","О ","Октябрьская",41566,,,
"179 км (ОП.)","О ","Октябрьская",47666,,,
"186 км (ОП.)","О ","Октябрьская",41424,,,
"188 км (ОП.)","О ","Октябрьская",47524,,,
"1945 км (рзд.)","Х ","Дальневосточная",904688,"Тында-405, Лена-1223","расстояние до железнодорожной станции Хани - 81 км",
"1945 км (рзд.)","Х ","Дальневосточная",904688,"Тында-405","расстояние до железнодорожной станции Хани - 81 км",
"196 км (ОП.)","О ","Октябрьская",47539,,,
"197 км (БП.)","Х ","Дальневосточная",966487,"Ванино-225, Комсомольск-Сортировочный-216",,
"197 км (ОП.)","О ","Октябрьская",27215,,,
"198 км (ОП.)","О ","Октябрьская",41335,,,
"200 км (ОП.)","О ","Октябрьская",41341,,,
"204 км (ОП.)","О ","Октябрьская",41265,,"Чудово-Московское - 86 км Окуловка - 45 км",
"205 км (ПП.)","О ","Московская",226520,"Ожерелье-87, Новомосковская II-5",,
"2107 км (рзд.)","Х ","Дальневосточная",908739,"Тында-243","Хани - 243 км",
"214 км (ОП.)","О ","Октябрьская",47444,,,
"218 км (ОП.)","О ","Октябрьская",57954,,,
"220 км (ОП.)","О ","Октябрьская",41138,,,
"221 км (рзд.)","О ","Московская",213746,"Горбачево-6",,
"226 км (ОП.)","О ","Октябрьская",41123,,,
"23 км (ОП.)","О ","Октябрьская",45533,,,
"234 км (рзд.)","Х ","Свердловская",796122,"Войновка-235","расстояние до железнодорожной станции Уль-Ягун - 519 км",
"244 км (ОП.)","О ","Октябрьская",53756,,,
"26 км (ОП.)","О ","Октябрьская",30449,,,
"2742 км (ПП.)","Х ","Западно-Сибирская",831966,"Карбышево I-151, Петропавловск-117",,
"2758 км (ОП.)","О ","Западно-Сибирская",831985,,,
"284 км (БП.)","Х ","Октябрьская",49267,"Лодейное Поле-41, Петрозаводск-119",,
"29 км (рзд.)","О ","""ФГУП """"КЖД""""""",856785,"Остряково-29, Евпатория-Товарная-28",,
"292 км (ОП.)","О ","Октябрьская",46822,,,
"3 км (ОП.)","Б ","Северо-Кавказская",531963,,"Расстояние от ОП 3 км до станции Мин.Воды - 1 км, до станции Кисловодск - 63 км",
"323 км (рзд.)","Х ","Дальневосточная",966913,"Комсомольск-Сортировочный-331, Ванино-110",,
"353 км (ОП.)","Х ","Дальневосточная",996436,,"расстояние до железнодорожных станций Арсентьевка - 195 км, до Победино-Сахалинское - 60 км",
"359 км (БП.)","Х ","Северная",299925,"Данилов-4, Буй-89",,
"359В км (БП.)","Х ","Северная",299938,"Данилов-3, Вологда I-136",,
"4 км (ОП.)","О ","Горьковская",254918,,,
"40 км (ОП.)","О ","Октябрьская",32317,,,
"445 км (ПП.)","О ","Московская",204516,"Навля-21, Арбузово-88",,
"48 км (ОП.)","О ","Октябрьская",41091,,,
"5 км (ОП.)","О ","Октябрьская",37043,,,
"50 км (рзд.)","О ","""ФГУП """"КЖД""""""",869111,"Джанкой-50, Владиславовка-51",,
"511 км (ПП.)","О ","Московская",204817,"Навля-87, Арбузово-22",,
"5234 км (ОП.)","О ","Восточно-Сибирская",932974,,"Иркутск-Пассажирский - 48 км, Улан-Удэ - 408 км",
"530 км (ПП.)","Х ","Московская",208216,"ТП",,
"554 км (ОП.)","О ","Восточно-Сибирская",925720,,"Тайшет - 554 км Лена-Восточная - 180 км",
"59 км (ПП.)","О ","Московская",220025,"Узуново-59, Рыбное-10",,
"59 км (ОП.)","О ","Октябрьская",22226,,,
"63 км (ОП.)","О ","Октябрьская",59057,,,
"648 км (ОП.)","О ","Октябрьская",70018,,,
"649 км (ОП.)","О ","Восточно-Сибирская",926878,,"Тайшет - 649 км, Лена-Восточная - 85 км",
"680 км (ОП.)","О ","Восточно-Сибирская",927181,,,
